--------------------- 
# sampleSize, 10000 
# repetitions, 20 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 39792855.855301, 302010.019800 
2, 42362439.325098, 39792870.826584 
3, 44456708.761973, 42362469.913660 
4, 45797565.611841, 44458717.135866 
5, 46778280.945029, 45797587.794615 
8, 47418980.268623, 46778335.386541 
10, 48057512.638719, 47418989.178164 
16, 48670755.680290, 48057517.260211 
32, 49274747.088278, 48670903.357216 
50, 49866869.884412, 49274929.866371 
64, 50338148.140475, 49867347.302606 
