--------------------- 
# sampleSize, 10000 
# repetitions, 20 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 33202923.180412, 361529.303047 
2, 42256950.356552, 33213673.024641 
3, 49314695.659164, 42258586.808153 
4, 55706205.118641, 49315242.508084 
5, 60094368.874273, 55714825.826812 
8, 61766827.540886, 60095420.364612 
10, 63217738.687380, 61767099.392344 
16, 64394017.999015, 63217768.321231 
32, 65709760.029953, 64394837.830272 
50, 67169309.267361, 65710482.420178 
64, 68378767.591158, 67169653.136457 
