--------------------- 
# sampleSize, 1000 
# repetitions, 3 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 47114600.397972, 959236.187971 
2, 38946185.770721, 12494802.834643 
3, 7941140.489054, 4750253.740306 
4, 19288332.717956, 5576144.072230 
5, 16488084.609261, 5018496.884544 
8, 15321395.341879, 2654450.287147 
10, 12159392.449606, 1762792.539087 
16, 11251967.747397, 4988311.616182 
32, 8682499.431725, 3996326.260598 
50, 8442519.891803, 2091192.912258 
64, 5988775.864670, 1502082.686811 
