--------------------- 
# sampleSize, 10000 
# repetitions, 20 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 13875175.739251, 65327.248499 
2, 18569633.463913, 13875265.340670 
3, 21129535.727653, 18569638.487528 
4, 22986226.462738, 21133003.928714 
5, 24385760.410595, 22987353.402951 
8, 25980232.628066, 24386230.974924 
10, 27164641.845678, 25980533.128368 
16, 28514052.584645, 27164902.648477 
32, 29732411.471542, 28515132.417139 
50, 30987181.540220, 29733780.215636 
64, 32100583.814567, 30988557.749187 
