--------------------- 
# sampleSize, 1000 
# repetitions, 10 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 74884092.593492, 1877444.542152 
2, 6970352.734160, 1796999.446296 
3, 12105216.156790, 709587.033362 
4, 16910634.389782, 2092118.275760 
5, 14192058.069253, 2194957.442809 
8, 14386088.584844, 4490367.202274 
10, 4327946.655820, 240127.542536 
16, 4649945.811348, 3046821.403503 
32, 6623292.057344, 2210234.590108 
50, 8239478.516115, 2765989.119616 
64, 8192469.931899, 2747387.154096 
