--------------------- 
# sampleSize, 1000 
# repetitions, 50 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 313051800.338207, 11612954.749569 
2, 76387628.549877, 8426332.671762 
3, 52561961.756249, 4731597.556348 
4, 32820544.977042, 2831483.064912 
5, 32233246.102830, 2016806.465515 
8, 19480859.629460, 3206232.044451 
10, 4895722.277940, 1152518.323708 
16, 7150111.862383, 1090069.928891 
32, 3911498.121149, 1165765.413869 
50, 2651979.324961, 276965.504193 
64, 2154446.799912, 455520.567792 
