--------------------- 
# sampleSize, 10000 
# repetitions, 20 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 55061174.823557, 841768.689645 
2, 66781282.422876, 55063170.936237 
3, 72770925.755124, 66782290.913740 
4, 77615604.475680, 72771151.255941 
5, 81746420.652227, 77615680.297876 
8, 84841375.903497, 81746876.109101 
10, 87304537.502703, 84841462.741510 
16, 89119150.400693, 87304688.928147 
32, 90797220.045293, 89119254.920512 
50, 92309202.122777, 90797573.071879 
64, 93735490.377083, 92309485.345907 
