--------------------- 
# sampleSize, 10000 
# repetitions, 10 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 35824321.255136, 434330.570428 
2, 47214351.393018, 35826745.635235 
3, 51324710.027118, 47214375.596667 
4, 54369272.796129, 51328997.181014 
5, 56644120.434795, 54369329.460052 
8, 58484954.671844, 56644127.225468 
10, 59629511.990975, 58485679.841062 
16, 60523263.097628, 59629521.958436 
32, 61322265.507226, 60523701.695890 
50, 62110426.966851, 61322597.280696 
64, 62824639.328948, 62110872.006438 
