--------------------- 
# sampleSize, 10000 
# repetitions, 20 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 2578574.859923, 8002.344607 
2, 4695049.348666, 2579988.094303 
3, 6494622.559863, 4696257.267122 
4, 8286202.869301, 6494955.394673 
5, 10135426.586021, 8286446.031435 
8, 11894678.867794, 10135504.249153 
10, 13504124.367029, 11894739.738853 
16, 14870483.016135, 13504146.321257 
32, 16090509.161750, 14870487.448316 
50, 17297189.971606, 16090513.250670 
64, 18502996.371742, 17297193.401132 
