--------------------- 
# sampleSize, 10000 
# repetitions, 20 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 2757792.148495, 1379.614871 
2, 4727722.245029, 2759757.012788 
3, 6378284.972348, 4729462.129956 
4, 8128341.347328, 6378615.395531 
5, 9886905.243132, 8128523.479111 
8, 11603946.288269, 9886919.076458 
10, 13179935.136747, 11604015.808106 
16, 14455285.413429, 13180045.917794 
32, 15661982.971882, 14455288.796377 
50, 16875666.797966, 15661989.420628 
64, 18075029.444653, 16875672.260039 
