--------------------- 
# sampleSize, 10000 
# repetitions, 10 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 2326462.207855, 4884.404404 
2, 3981386.852135, 2327637.409202 
3, 5643799.466384, 3981436.627640 
4, 7292943.533357, 5643832.630125 
5, 8920411.830105, 7292976.531247 
8, 10542252.796316, 8920416.633865 
10, 12157557.186385, 10542257.178484 
16, 13654904.940328, 12157573.431768 
32, 14920115.829851, 13656348.322211 
50, 16155054.114743, 14920138.476374 
64, 17355549.508223, 16155059.354701 
