--------------------- 
# sampleSize, 10000 
# repetitions, 20 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 2575699.118368, 10134.499942 
2, 4532166.170733, 2577834.319503 
3, 6254908.058132, 4535250.574751 
4, 7894550.765433, 6255321.275162 
5, 9522114.171165, 7894610.797686 
8, 10925675.902015, 9522136.994210 
10, 12301601.337503, 10925742.172840 
16, 13542418.686274, 12301646.704309 
32, 14741679.337884, 13542420.598191 
50, 15930782.415584, 14741683.730436 
64, 17126755.819616, 15930793.619516 
