--------------------- 
# sampleSize, 1000 
# repetitions, 50 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 1026697.974129, 1377.801729 
2, 1195502.812717, 56586.972369 
3, 1267456.566667, 133458.598706 
4, 923133.179865, 143535.520558 
5, 995499.065022, 84853.538332 
8, 1246980.634497, 41656.659874 
10, 1313731.775905, 25083.929792 
16, 1329980.428350, 25466.964689 
32, 1231155.602720, 51387.119123 
50, 1156955.653149, 94083.024023 
64, 1114055.507170, 93031.859369 
