--------------------- 
# sampleSize, 10000 
# repetitions, 10 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 2735969.074844, 6688.465683 
2, 4743766.665293, 2737840.222583 
3, 6492452.652536, 4744574.858834 
4, 8335852.316606, 6492715.775464 
5, 10079506.181853, 8335980.684888 
8, 11804266.915179, 10079550.772842 
10, 13471963.212630, 11804343.200121 
16, 14990810.686355, 13472030.421794 
32, 16272954.381331, 14990912.774549 
50, 17466713.237682, 16272963.404784 
64, 18649517.297164, 17466717.841020 
