--------------------- 
# sampleSize, 1000 
# repetitions, 50 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 562663.065456, 298674.260962 
2, 971761.170779, 44510.744675 
3, 1066417.063227, 18233.177272 
4, 1061847.911394, 34286.479012 
5, 1364432.968270, 58516.128806 
8, 1368379.876105, 123518.516053 
10, 1284021.855163, 36861.930517 
16, 1337903.022064, 51227.801367 
32, 1202811.073020, 102369.795361 
50, 1142811.404237, 90610.236943 
64, 1123520.973582, 92199.040202 
