--------------------- 
# sampleSize, 1000 
# repetitions, 50 
--------------------- 
numberOfThreads, Throughput [ops/s], standardDeviation [ops/s] 
1, 873643.862448, 4058.905397 
2, 937812.309878, 59431.354033 
3, 1018739.803634, 83544.723589 
4, 1158514.961948, 39495.830317 
5, 1243358.730075, 90914.261708 
8, 1283317.715544, 41725.368911 
10, 1372418.520618, 46740.483928 
16, 1237111.101027, 56265.422413 
32, 1174566.493739, 157488.304046 
50, 1173044.957508, 69362.457540 
64, 1105285.044518, 86975.451893 
